timestamp,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,lat,lon
2026-09-04 00:00:00,0.4,0.401,0.428,27.33,88.61
2026-09-04 01:00:00,0.402,0.401,0.428,27.33,88.61
2026-09-04 02:00:00,0.402,0.4,0.428,27.33,88.61
2026-09-04 03:00:00,0.402,0.4,0.428,27.33,88.61
2026-09-04 04:00:00,0.401,0.399,0.427,27.33,88.61
2026-09-04 05:00:00,0.399,0.401,0.427,27.33,88.61
2026-09-04 06:00:00,0.399,0.401,0.427,27.33,88.61
2026-09-04 07:00:00,0.398,0.4,0.427,27.33,88.61
2026-09-04 08:00:00,0.397,0.4,0.427,27.33,88.61
2026-09-04 09:00:00,0.396,0.399,0.427,27.33,88.61
2026-09-04 10:00:00,0.395,0.398,0.427,27.33,88.61
2026-09-04 11:00:00,0.394,0.397,0.427,27.33,88.61
2026-09-04 12:00:00,0.393,0.397,0.426,27.33,88.61
2026-09-04 13:00:00,0.392,0.396,0.426,27.33,88.61
2026-09-04 14:00:00,0.39,0.395,0.426,27.33,88.61
2026-09-04 15:00:00,0.389,0.395,0.426,27.33,88.61
2026-09-04 16:00:00,0.388,0.394,0.426,27.33,88.61
2026-09-04 17:00:00,0.399,0.395,0.425,27.33,88.61
2026-09-04 18:00:00,0.4,0.395,0.425,27.33,88.61
2026-09-04 19:00:00,0.402,0.394,0.425,27.33,88.61
2026-09-04 20:00:00,0.406,0.394,0.425,27.33,88.61
2026-09-04 21:00:00,0.41,0.395,0.425,27.33,88.61
2026-09-04 22:00:00,0.41,0.395,0.425,27.33,88.61
2026-09-04 23:00:00,0.407,0.395,0.424,27.33,88.61
2026-09-05 00:00:00,0.408,0.395,0.424,27.33,88.61
2026-09-05 01:00:00,0.409,0.395,0.424,27.33,88.61
2026-09-05 02:00:00,0.408,0.396,0.424,27.33,88.61
2026-09-05 03:00:00,0.406,0.396,0.424,27.33,88.61
2026-09-05 04:00:00,0.405,0.396,0.424,27.33,88.61
2026-09-05 05:00:00,0.396,0.393,0.423,27.33,88.61
2026-09-05 06:00:00,0.395,0.393,0.423,27.33,88.61
2026-09-05 07:00:00,0.395,0.393,0.423,27.33,88.61
2026-09-05 08:00:00,0.394,0.392,0.423,27.33,88.61
2026-09-05 09:00:00,0.393,0.392,0.423,27.33,88.61
2026-09-05 10:00:00,0.392,0.392,0.422,27.33,88.61
2026-09-05 11:00:00,0.39,0.391,0.422,27.33,88.61
2026-09-05 12:00:00,0.388,0.39,0.422,27.33,88.61
2026-09-05 13:00:00,0.387,0.39,0.422,27.33,88.61
2026-09-05 14:00:00,0.387,0.389,0.421,27.33,88.61
2026-09-05 15:00:00,0.389,0.389,0.421,27.33,88.61
2026-09-05 16:00:00,0.392,0.388,0.421,27.33,88.61
2026-09-05 17:00:00,0.394,0.388,0.421,27.33,88.61
2026-09-05 18:00:00,0.402,0.388,0.42,27.33,88.61
2026-09-05 19:00:00,0.409,0.389,0.42,27.33,88.61
2026-09-05 20:00:00,0.426,0.39,0.42,27.33,88.61
2026-09-05 21:00:00,0.434,0.395,0.42,27.33,88.61
2026-09-05 22:00:00,0.432,0.399,0.42,27.33,88.61
2026-09-05 23:00:00,0.429,0.403,0.419,27.33,88.61
2026-09-06 00:00:00,0.426,0.405,0.419,27.33,88.61
2026-09-06 01:00:00,0.427,0.407,0.419,27.33,88.61
2026-09-06 02:00:00,0.427,0.408,0.419,27.33,88.61
2026-09-06 03:00:00,0.433,0.411,0.419,27.33,88.61
2026-09-06 04:00:00,0.432,0.414,0.419,27.33,88.61
2026-09-06 05:00:00,0.437,0.416,0.418,27.33,88.61
2026-09-06 06:00:00,0.429,0.418,0.418,27.33,88.61
2026-09-06 07:00:00,0.43,0.42,0.418,27.33,88.61
2026-09-06 08:00:00,0.427,0.421,0.418,27.33,88.61
2026-09-06 09:00:00,0.424,0.421,0.418,27.33,88.61
2026-09-06 10:00:00,0.422,0.421,0.418,27.33,88.61
2026-09-06 11:00:00,0.426,0.421,0.418,27.33,88.61
2026-09-06 12:00:00,0.424,0.421,0.418,27.33,88.61
2026-09-06 13:00:00,0.423,0.421,0.418,27.33,88.61
2026-09-06 14:00:00,0.422,0.421,0.418,27.33,88.61
2026-09-06 15:00:00,0.421,0.421,0.418,27.33,88.61
2026-09-06 16:00:00,0.421,0.421,0.418,27.33,88.61
2026-09-06 17:00:00,0.413,0.43,0.426,27.33,88.61
2026-09-06 18:00:00,0.415,0.429,0.426,27.33,88.61
2026-09-06 19:00:00,0.416,0.428,0.426,27.33,88.61
2026-09-06 20:00:00,0.417,0.427,0.426,27.33,88.61
2026-09-06 21:00:00,0.418,0.427,0.427,27.33,88.61
2026-09-06 22:00:00,0.426,0.427,0.427,27.33,88.61
2026-09-06 23:00:00,0.433,0.427,0.427,27.33,88.61
2026-09-07 00:00:00,0.428,0.428,0.427,27.33,88.61
2026-09-07 01:00:00,0.425,0.428,0.427,27.33,88.61
2026-09-07 02:00:00,0.422,0.428,0.427,27.33,88.61
2026-09-07 03:00:00,0.421,0.427,0.427,27.33,88.61
2026-09-07 04:00:00,0.419,0.427,0.427,27.33,88.61
2026-09-07 05:00:00,0.417,0.426,0.427,27.33,88.61
2026-09-07 06:00:00,0.417,0.425,0.427,27.33,88.61
2026-09-07 07:00:00,0.422,0.425,0.427,27.33,88.61
2026-09-07 08:00:00,0.422,0.425,0.427,27.33,88.61
2026-09-07 09:00:00,0.419,0.424,0.427,27.33,88.61
2026-09-07 10:00:00,0.417,0.424,0.427,27.33,88.61
2026-09-07 11:00:00,0.426,0.423,0.427,27.33,88.61
2026-09-07 12:00:00,0.423,0.423,0.427,27.33,88.61
2026-09-07 13:00:00,0.419,0.422,0.426,27.33,88.61
2026-09-07 14:00:00,0.417,0.422,0.426,27.33,88.61
2026-09-07 15:00:00,0.416,0.421,0.426,27.33,88.61
2026-09-07 16:00:00,0.415,0.42,0.426,27.33,88.61
2026-09-07 17:00:00,0.402,0.422,0.426,27.33,88.61
2026-09-07 18:00:00,0.403,0.421,0.426,27.33,88.61
2026-09-07 19:00:00,0.405,0.42,0.426,27.33,88.61
2026-09-07 20:00:00,0.417,0.42,0.426,27.33,88.61
2026-09-07 21:00:00,0.422,0.419,0.426,27.33,88.61
2026-09-07 22:00:00,0.42,0.419,0.426,27.33,88.61
2026-09-07 23:00:00,0.425,0.419,0.426,27.33,88.61
2026-09-08 00:00:00,0.422,0.419,0.426,27.33,88.61
2026-09-08 01:00:00,0.421,0.419,0.426,27.33,88.61
2026-09-08 02:00:00,0.42,0.419,0.426,27.33,88.61
2026-09-08 03:00:00,0.419,0.419,0.426,27.33,88.61
2026-09-08 04:00:00,0.419,0.419,0.426,27.33,88.61
2026-09-08 05:00:00,0.406,0.42,0.426,27.33,88.61
2026-09-08 06:00:00,0.406,0.419,0.426,27.33,88.61
2026-09-08 07:00:00,0.405,0.419,0.426,27.33,88.61
2026-09-08 08:00:00,0.404,0.418,0.426,27.33,88.61
2026-09-08 09:00:00,0.403,0.417,0.426,27.33,88.61
2026-09-08 10:00:00,0.401,0.416,0.426,27.33,88.61
2026-09-08 11:00:00,0.413,0.415,0.425,27.33,88.61
2026-09-08 12:00:00,0.411,0.414,0.425,27.33,88.61
2026-09-08 13:00:00,0.41,0.413,0.425,27.33,88.61
2026-09-08 14:00:00,0.409,0.412,0.425,27.33,88.61
2026-09-08 15:00:00,0.409,0.412,0.425,27.33,88.61
2026-09-08 16:00:00,0.41,0.411,0.425,27.33,88.61
2026-09-08 17:00:00,0.391,0.411,0.425,27.33,88.61
2026-09-08 18:00:00,0.392,0.41,0.425,27.33,88.61
2026-09-08 19:00:00,0.393,0.409,0.424,27.33,88.61
2026-09-08 20:00:00,0.395,0.409,0.424,27.33,88.61
2026-09-08 21:00:00,0.395,0.408,0.424,27.33,88.61
2026-09-08 22:00:00,0.397,0.407,0.424,27.33,88.61
2026-09-08 23:00:00,0.399,0.407,0.424,27.33,88.61
2026-09-09 00:00:00,0.399,0.406,0.424,27.33,88.61
2026-09-09 01:00:00,0.398,0.406,0.424,27.33,88.61
2026-09-09 02:00:00,0.398,0.405,0.424,27.33,88.61
2026-09-09 03:00:00,0.397,0.405,0.424,27.33,88.61
2026-09-09 04:00:00,0.396,0.404,0.423,27.33,88.61
2026-09-09 05:00:00,0.393,0.404,0.423,27.33,88.61
2026-09-09 06:00:00,0.393,0.404,0.423,27.33,88.61
2026-09-09 07:00:00,0.393,0.403,0.423,27.33,88.61
2026-09-09 08:00:00,0.392,0.403,0.423,27.33,88.61
2026-09-09 09:00:00,0.391,0.402,0.423,27.33,88.61
2026-09-09 10:00:00,0.39,0.401,0.423,27.33,88.61
2026-09-09 11:00:00,0.389,0.4,0.422,27.33,88.61
2026-09-09 12:00:00,0.389,0.399,0.422,27.33,88.61
2026-09-09 13:00:00,0.389,0.399,0.422,27.33,88.61
2026-09-09 14:00:00,0.388,0.398,0.422,27.33,88.61
2026-09-09 15:00:00,0.387,0.397,0.421,27.33,88.61
2026-09-09 16:00:00,0.387,0.397,0.421,27.33,88.61
2026-09-09 17:00:00,0.385,0.398,0.421,27.33,88.61
2026-09-09 18:00:00,0.385,0.398,0.421,27.33,88.61
2026-09-09 19:00:00,0.385,0.397,0.421,27.33,88.61
2026-09-09 20:00:00,0.385,0.397,0.421,27.33,88.61
2026-09-09 21:00:00,0.386,0.396,0.421,27.33,88.61
2026-09-09 22:00:00,0.399,0.396,0.421,27.33,88.61
2026-09-09 23:00:00,0.402,0.396,0.42,27.33,88.61
2026-09-10 00:00:00,0.416,0.396,0.42,27.33,88.61
2026-09-10 01:00:00,0.417,0.397,0.42,27.33,88.61
2026-09-10 02:00:00,0.418,0.398,0.42,27.33,88.61
2026-09-10 03:00:00,0.418,0.399,0.42,27.33,88.61
2026-09-10 04:00:00,0.417,0.4,0.42,27.33,88.61
2026-09-10 05:00:00,0.41,0.396,0.419,27.33,88.61
2026-09-10 06:00:00,0.408,0.397,0.419,27.33,88.61
2026-09-10 07:00:00,0.406,0.397,0.419,27.33,88.61
2026-09-10 08:00:00,0.405,0.397,0.419,27.33,88.61
2026-09-10 09:00:00,0.403,0.397,0.419,27.33,88.61
2026-09-10 10:00:00,0.4,0.396,0.418,27.33,88.61
